çÏã∆ì˙,êîó 
2021-05-06,25748.0
2021-05-07,29937.0
2021-05-08,9677.0
2021-05-09,0.0
2021-05-10,36499.0
2021-05-11,31322.0
2021-05-12,31353.0
2021-05-13,32727.0
2021-05-14,31127.0
2021-05-15,8368.0
2021-05-16,0.0
2021-05-17,36339.0
2021-05-18,27091.0
2021-05-19,27607.0
2021-05-20,30942.0
2021-05-21,36834.0
2021-05-22,12283.0
2021-05-23,0.0
2021-05-24,107773.0
2021-05-25,62094.0
2021-05-26,53108.0
2021-05-27,53342.0
2021-05-28,45663.0
2021-05-29,7253.0
2021-05-30,0.0
2021-05-31,52898.0
2021-06-01,32139.0
2021-06-02,29563.0
2021-06-03,32541.0
2021-06-04,46605.0
2021-06-05,16284.0
2021-06-06,0.0
2021-06-07,34801.0
2021-06-08,27577.0
2021-06-09,33540.0
2021-06-10,30159.0
2021-06-11,32646.0
2021-06-12,13596.0
2021-06-13,0.0
2021-06-14,50796.0
2021-06-15,37319.0
2021-06-16,37653.0
2021-06-17,32326.0
2021-06-18,37078.0
2021-06-19,12187.0
2021-06-20,0.0
2021-06-21,118383.0
